Date,BTC,Gold,SP500,FTSE,oil
2019-09-25,8486.9931640625,1530.85,2984.8701171875,7290.0,56.38
2019-09-26,8118.9677734375,1507.05,2977.6201171875,7351.10009765625,56.24
2019-09-27,8251.845703125,1496.15,2961.7900390625,7426.2001953125,55.95
2019-09-28,8245.9150390625,1496.15,2961.7900390625,7426.2001953125,55.95
2019-09-29,8104.185546875,1496.15,2961.7900390625,7426.2001953125,55.95
2019-09-30,8293.8681640625,1487.6,2976.739990234375,7408.2001953125,54.09
2019-10-01,8343.2763671875,1466.1,2940.25,7360.2998046875,53.6
2019-10-02,8393.0419921875,1484.05,2887.610107421875,7122.5,52.67
2019-10-03,8259.9921875,1504.0,2910.6298828125,7077.60009765625,52.41
2019-10-04,8205.939453125,1509.5,2952.010009765625,7155.39990234375,52.84
2019-10-05,8151.50048828125,1509.5,2952.010009765625,7155.39990234375,52.84
2019-10-06,7988.15576171875,1509.5,2952.010009765625,7155.39990234375,52.84
2019-10-07,8245.623046875,1502.15,2938.7900390625,7197.89990234375,52.76
2019-10-08,8228.783203125,1500.0,2893.06005859375,7143.2001953125,52.64
2019-10-09,8595.740234375,1503.4,2919.39990234375,7166.5,52.63
2019-10-10,8586.4736328125,1508.2,2938.1298828125,7186.39990234375,53.57
2019-10-11,8321.7568359375,1498.35,2970.27001953125,7247.10009765625,54.76
2019-10-12,8336.5556640625,1498.35,2970.27001953125,7247.10009765625,54.76
2019-10-13,8321.005859375,1498.35,2970.27001953125,7247.10009765625,54.76
2019-10-14,8374.6865234375,1494.2,2966.14990234375,7213.5,53.57
2019-10-15,8205.369140625,1494.75,2995.679931640625,7211.60009765625,52.81
2019-10-16,8047.52685546875,1482.55,2989.68994140625,7168.0,53.42
2019-10-17,8103.9111328125,1484.45,2997.949951171875,7182.2998046875,53.89
2019-10-18,7973.20751953125,1484.45,2986.199951171875,7150.60009765625,53.75
2019-10-19,7988.560546875,1484.45,2986.199951171875,7150.60009765625,53.75
2019-10-20,8222.078125,1484.45,2986.199951171875,7150.60009765625,53.75
2019-10-21,8243.720703125,1490.85,3006.719970703125,7163.60009765625,53.28
2019-10-22,8078.203125,1487.45,2995.989990234375,7212.5,54.21
2019-10-23,7514.671875,1494.25,3004.52001953125,7260.7001953125,55.9
2019-10-24,7493.48876953125,1488.85,3010.2900390625,7328.2998046875,56.11
2019-10-25,8660.7001953125,1504.65,3022.550048828125,7324.5,56.52
2019-10-26,9244.97265625,1504.65,3022.550048828125,7324.5,56.52
2019-10-27,9551.71484375,1504.65,3022.550048828125,7324.5,56.52
2019-10-28,9256.1484375,1505.05,3039.419921875,7331.2998046875,55.6
2019-10-29,9427.6875,1492.75,3036.889892578125,7306.2998046875,55.34
2019-10-30,9205.7265625,1490.15,3046.77001953125,7330.7998046875,54.85
2019-10-31,9199.5849609375,1506.4,3037.56005859375,7248.39990234375,54.02
2019-11-01,9261.1044921875,1509.85,3066.909912109375,7302.39990234375,56.04
2019-11-02,9324.7177734375,1509.85,3066.909912109375,7302.39990234375,56.04
2019-11-03,9235.3544921875,1509.85,3066.909912109375,7302.39990234375,56.04
2019-11-04,9412.6123046875,1509.2,3078.27001953125,7369.7001953125,56.33
2019-11-05,9342.52734375,1504.6,3074.6201171875,7388.10009765625,57.04
2019-11-06,9360.8798828125,1488.55,3076.780029296875,7396.7001953125,56.15
2019-11-07,9267.5615234375,1484.1,3085.179931640625,7406.39990234375,56.91
2019-11-08,8804.880859375,1466.85,3093.080078125,7359.39990234375,57.02
2019-11-09,8813.58203125,1466.85,3093.080078125,7359.39990234375,57.02
2019-11-10,9055.5263671875,1466.85,3093.080078125,7359.39990234375,57.02
2019-11-11,8757.7880859375,1465.5,3087.010009765625,7328.5,56.61
2019-11-12,8815.662109375,1455.0,3091.840087890625,7365.39990234375,56.67
2019-11-13,8808.2626953125,1463.45,3094.0400390625,7351.2001953125,56.88
2019-11-14,8708.0947265625,1467.65,3096.6298828125,7292.7998046875,56.57
2019-11-15,8491.9921875,1465.6,3120.4599609375,7302.89990234375,57.54
2019-11-16,8550.7607421875,1465.6,3120.4599609375,7302.89990234375,57.54
2019-11-17,8577.9755859375,1465.6,3120.4599609375,7302.89990234375,57.54
2019-11-18,8309.2861328125,1458.4,3122.030029296875,7307.7001953125,56.82
2019-11-19,8206.1455078125,1464.9,3120.179931640625,7323.7998046875,54.93
2019-11-20,8027.26806640625,1475.7,3108.4599609375,7262.5,56.71
2019-11-21,7642.75,1468.9,3103.5400390625,7238.60009765625,58.36
2019-11-22,7296.57763671875,1471.3,3110.2900390625,7326.7998046875,57.68
2019-11-23,7397.796875,1471.3,3110.2900390625,7326.7998046875,57.68
2019-11-24,7047.9169921875,1471.3,3110.2900390625,7326.7998046875,57.68
2019-11-25,7146.1337890625,1459.45,3133.639892578125,7396.2998046875,57.79
2019-11-26,7218.37109375,1457.65,3140.52001953125,7403.10009765625,58.25
2019-11-27,7531.66357421875,1459.8,3153.6298828125,7429.7998046875,58.12
2019-11-28,7463.10595703125,1457.55,3153.6298828125,7416.39990234375,58.12
2019-11-29,7761.24365234375,1456.35,3140.97998046875,7346.5,58.12
2019-11-30,7569.6298828125,1456.35,3140.97998046875,7346.5,58.12
2019-12-01,7424.29248046875,1456.35,3140.97998046875,7346.5,58.12
2019-12-02,7321.98828125,1457.5,3113.8701171875,7285.89990234375,55.97
2019-12-03,7320.1455078125,1470.4,3093.199951171875,7158.7998046875,56.15
2019-12-04,7252.03466796875,1475.85,3112.760009765625,7188.5,58.46
2019-12-05,7448.3076171875,1474.6,3117.429931640625,7137.89990234375,58.42
2019-12-06,7546.99658203125,1474.85,3145.909912109375,7239.7001953125,59.2
2019-12-07,7556.23779296875,1474.85,3145.909912109375,7239.7001953125,59.2
2019-12-08,7564.34521484375,1474.85,3145.909912109375,7239.7001953125,59.2
2019-12-09,7400.8994140625,1463.6,3135.9599609375,7233.89990234375,58.99
2019-12-10,7278.11962890625,1464.45,3132.52001953125,7213.7998046875,59.22
2019-12-11,7217.42724609375,1468.05,3141.6298828125,7216.2998046875,58.74
2019-12-12,7243.13427734375,1474.7,3168.570068359375,7273.5,59.18
2019-12-13,7269.6845703125,1470.6,3168.800048828125,7353.39990234375,60.11
2019-12-14,7124.673828125,1470.6,3168.800048828125,7353.39990234375,60.11
2019-12-15,7152.3017578125,1470.6,3168.800048828125,7353.39990234375,60.11
2019-12-16,6932.48046875,1477.4,3191.449951171875,7519.10009765625,60.21
2019-12-17,6640.51513671875,1478.4,3192.52001953125,7525.2998046875,60.88
2019-12-18,7276.802734375,1478.9,3191.139892578125,7540.7998046875,60.93
2019-12-19,7202.84423828125,1474.4,3205.3701171875,7573.7998046875,61.3
2019-12-20,7218.81640625,1476.9,3221.219970703125,7582.5,60.43
2019-12-21,7191.15869140625,1476.9,3221.219970703125,7582.5,60.43
2019-12-22,7511.5888671875,1476.9,3221.219970703125,7582.5,60.43
2019-12-23,7355.62841796875,1483.95,3224.010009765625,7623.60009765625,60.51
2019-12-24,7322.5322265625,1490.85,3223.3798828125,7632.2001953125,61.17
2019-12-25,7275.15576171875,1490.85,3223.3798828125,7632.2001953125,61.17
2019-12-26,7238.966796875,1490.85,3239.909912109375,7632.2001953125,61.72
2019-12-27,7290.08837890625,1510.6,3240.02001953125,7644.89990234375,61.76
2019-12-28,7317.990234375,1510.6,3240.02001953125,7644.89990234375,61.76
2019-12-29,7422.65283203125,1510.6,3240.02001953125,7644.89990234375,61.76
2019-12-30,7292.9951171875,1511.5,3221.2900390625,7587.10009765625,61.66
2019-12-31,7193.59912109375,1523.0,3230.780029296875,7542.39990234375,61.14
2020-01-01,7200.17431640625,1523.0,3230.780029296875,7542.39990234375,61.14
2020-01-02,6985.47021484375,1520.55,3257.85009765625,7604.2998046875,61.17
2020-01-03,7344.88427734375,1547.4,3234.85009765625,7622.39990234375,63.0
2020-01-04,7410.65673828125,1547.4,3234.85009765625,7622.39990234375,63.0
2020-01-05,7411.3173828125,1547.4,3234.85009765625,7622.39990234375,63.0
2020-01-06,7769.21923828125,1576.85,3246.280029296875,7575.2998046875,63.27
2020-01-07,8163.6923828125,1566.5,3237.179931640625,7573.89990234375,62.7
2020-01-08,8079.86279296875,1582.85,3253.050048828125,7574.89990234375,59.65
2020-01-09,7879.0712890625,1547.85,3274.699951171875,7598.10009765625,59.56
2020-01-10,8166.55419921875,1548.8,3265.35009765625,7587.89990234375,59.02
2020-01-11,8037.53759765625,1548.8,3265.35009765625,7587.89990234375,59.02
2020-01-12,8192.494140625,1548.8,3265.35009765625,7587.89990234375,59.02
2020-01-13,8144.1943359375,1550.35,3288.1298828125,7617.60009765625,58.17
2020-01-14,8827.7646484375,1544.95,3283.14990234375,7622.39990234375,58.34
2020-01-15,8807.0107421875,1551.9,3289.2900390625,7642.7998046875,57.86
2020-01-16,8723.7861328125,1555.2,3316.81005859375,7609.7998046875,58.52
2020-01-17,8929.0380859375,1556.5,3329.6201171875,7674.60009765625,58.55
2020-01-18,8942.80859375,1556.5,3329.6201171875,7674.60009765625,58.55
2020-01-19,8706.2451171875,1556.5,3329.6201171875,7674.60009765625,58.55
2020-01-20,8657.642578125,1559.25,3329.6201171875,7651.39990234375,58.55
2020-01-21,8745.89453125,1556.25,3320.7900390625,7610.7001953125,58.25
2020-01-22,8680.8759765625,1558.1,3321.75,7571.89990234375,56.76
2020-01-23,8406.515625,1554.05,3325.5400390625,7507.7001953125,55.51
2020-01-24,8445.4345703125,1561.85,3295.469970703125,7586.0,54.09
2020-01-25,8367.84765625,1561.85,3295.469970703125,7586.0,54.09
2020-01-26,8596.830078125,1561.85,3295.469970703125,7586.0,54.09
2020-01-27,8909.8193359375,1583.45,3243.6298828125,7412.10009765625,53.09
2020-01-28,9358.58984375,1579.6,3276.239990234375,7480.7001953125,53.33
2020-01-29,9316.6298828125,1571.2,3273.39990234375,7483.60009765625,53.29
2020-01-30,9508.9931640625,1580.4,3283.659912109375,7382.0,52.19
2020-01-31,9350.529296875,1580.85,3225.52001953125,7286.0,51.58
2020-02-01,9392.875,1580.85,3225.52001953125,7286.0,51.58
2020-02-02,9344.365234375,1580.85,3225.52001953125,7286.0,51.58
2020-02-03,9293.521484375,1578.85,3248.919921875,7326.2998046875,50.06
2020-02-04,9180.962890625,1571.2,3297.590087890625,7439.7998046875,49.59
2020-02-05,9613.423828125,1552.2,3334.68994140625,7482.5,50.87
2020-02-06,9729.8017578125,1564.75,3345.780029296875,7504.7998046875,50.94
2020-02-07,9795.943359375,1564.75,3327.7099609375,7466.7001953125,50.34
2020-02-08,9865.119140625,1564.75,3327.7099609375,7466.7001953125,50.34
2020-02-09,10116.673828125,1564.75,3327.7099609375,7466.7001953125,50.34
2020-02-10,9856.611328125,1574.05,3352.090087890625,7446.89990234375,49.59
2020-02-11,10208.236328125,1567.7,3357.75,7499.39990234375,50.0
2020-02-12,10326.0546875,1566.75,3379.449951171875,7534.39990234375,51.13
2020-02-13,10214.3798828125,1575.0,3373.93994140625,7452.0,51.41
2020-02-14,10312.1162109375,1576.35,3380.159912109375,7409.10009765625,52.03
2020-02-15,9889.4248046875,1576.35,3380.159912109375,7409.10009765625,52.03
2020-02-16,9934.43359375,1576.35,3380.159912109375,7409.10009765625,52.03
2020-02-17,9690.142578125,1580.3,3380.159912109375,7433.2998046875,52.03
2020-02-18,10141.99609375,1588.2,3370.2900390625,7382.0,52.1
2020-02-19,9633.38671875,1609.5,3386.14990234375,7457.0,53.31
2020-02-20,9608.4755859375,1610.35,3373.22998046875,7436.60009765625,53.77
2020-02-21,9686.44140625,1633.7,3337.75,7403.89990234375,53.36
2020-02-22,9663.181640625,1633.7,3337.75,7403.89990234375,53.36
2020-02-23,9924.515625,1633.7,3337.75,7403.89990234375,53.36
2020-02-24,9650.1748046875,1682.35,3225.889892578125,7156.7998046875,51.36
2020-02-25,9341.705078125,1655.9,3128.2099609375,7017.89990234375,49.78
2020-02-26,8820.5224609375,1647.95,3116.389892578125,7042.5,48.67
2020-02-27,8784.494140625,1646.6,2978.760009765625,6796.39990234375,47.17
2020-02-28,8672.455078125,1626.35,2954.219970703125,6580.60009765625,44.83
2020-02-29,8599.5087890625,1626.35,2954.219970703125,6580.60009765625,44.83
2020-03-01,8562.4541015625,1626.35,2954.219970703125,6580.60009765625,44.83
2020-03-02,8869.669921875,1609.7,3090.22998046875,6654.89990234375,46.78
2020-03-03,8787.7861328125,1599.05,3003.3701171875,6718.2001953125,47.27
2020-03-04,8755.24609375,1644.8,3130.1201171875,6815.60009765625,46.78
2020-03-05,9078.7626953125,1647.45,3023.93994140625,6705.39990234375,45.9
2020-03-06,9122.5458984375,1687.0,2972.3701171875,6462.60009765625,41.14
2020-03-07,8909.9541015625,1687.0,2972.3701171875,6462.60009765625,41.14
2020-03-08,8108.1162109375,1687.0,2972.3701171875,6462.60009765625,41.14
2020-03-09,7923.64453125,1676.6,2746.56005859375,5965.7998046875,31.05
2020-03-10,7909.7294921875,1657.4,2882.22998046875,5960.2001953125,34.47
2020-03-11,7911.43017578125,1662.5,2741.3798828125,5876.5,33.13
2020-03-12,4970.7880859375,1636.65,2480.639892578125,5237.5,31.56
2020-03-13,5563.70703125,1588.15,2711.02001953125,5366.10009765625,31.72
2020-03-14,5200.3662109375,1588.15,2711.02001953125,5366.10009765625,31.72
2020-03-15,5392.31494140625,1588.15,2711.02001953125,5366.10009765625,31.72
2020-03-16,5014.47998046875,1504.65,2386.1298828125,5151.10009765625,28.96
2020-03-17,5225.62939453125,1472.35,2529.18994140625,5294.89990234375,26.96
2020-03-18,5238.4384765625,1506.0,2398.10009765625,5080.60009765625,20.48
2020-03-19,6191.19287109375,1480.7,2409.389892578125,5151.60009765625,25.09
2020-03-20,6198.7783203125,1504.45,2304.919921875,5190.7998046875,19.48
2020-03-21,6185.06640625,1504.45,2304.919921875,5190.7998046875,19.48
2020-03-22,5830.2548828125,1504.45,2304.919921875,5190.7998046875,19.48
2020-03-23,6416.31494140625,1494.5,2237.39990234375,4993.89990234375,23.33
2020-03-24,6734.8037109375,1599.5,2447.330078125,5446.0,21.03
2020-03-25,6681.06298828125,1620.95,2475.56005859375,5688.2001953125,20.75
2020-03-26,6716.4404296875,1620.1,2630.070068359375,5815.7001953125,16.6
2020-03-27,6469.79833984375,1621.2,2541.469970703125,5510.2998046875,15.48
2020-03-28,6242.19384765625,1621.2,2541.469970703125,5510.2998046875,15.48
2020-03-29,5922.04296875,1621.2,2541.469970703125,5510.2998046875,15.48
2020-03-30,6429.841796875,1624.45,2626.64990234375,5563.7001953125,14.1
2020-03-31,6438.64453125,1604.65,2584.590087890625,5672.0,20.51
2020-04-01,6606.7763671875,1594.25,2470.5,5454.60009765625,20.28
2020-04-02,6793.62451171875,1588.05,2526.89990234375,5480.2001953125,25.18
2020-04-03,6733.38720703125,1609.75,2488.64990234375,5415.5,28.36
2020-04-04,6867.52734375,1609.75,2488.64990234375,5415.5,28.36
2020-04-05,6791.12939453125,1609.75,2488.64990234375,5415.5,28.36
2020-04-06,7271.78125,1636.6,2663.679931640625,5582.39990234375,26.21
2020-04-07,7176.41455078125,1652.2,2659.409912109375,5704.5,23.54
2020-04-08,7334.0986328125,1649.05,2749.97998046875,5677.7001953125,24.97
2020-04-09,7302.08935546875,1662.5,2789.820068359375,5842.7001953125,22.9
2020-04-10,6865.4931640625,1662.5,2789.820068359375,5842.7001953125,22.9
2020-04-11,6859.0830078125,1662.5,2789.820068359375,5842.7001953125,22.9
2020-04-12,6971.091796875,1662.5,2789.820068359375,5842.7001953125,22.9
2020-04-13,6845.03759765625,1662.5,2761.6298828125,5842.7001953125,22.36
2020-04-14,6842.427734375,1715.85,2846.06005859375,5791.2998046875,20.15
2020-04-15,6642.10986328125,1712.25,2783.360107421875,5597.7001953125,19.96
2020-04-16,7116.80419921875,1717.85,2799.550048828125,5628.39990234375,19.82
2020-04-17,7116.80419921875,1693.15,2874.56005859375,5787.0,18.31
2020-04-18,7257.6650390625,1693.15,2874.56005859375,5787.0,18.31
2020-04-19,7189.4248046875,1693.15,2874.56005859375,5787.0,18.31
2020-04-20,6881.95849609375,1684.95,2823.159912109375,5812.7998046875,-36.98
2020-04-21,6880.3232421875,1678.6,2736.56005859375,5641.0,8.91
2020-04-22,7117.20751953125,1702.65,2799.31005859375,5770.60009765625,13.64
2020-04-23,7429.724609375,1727.55,2797.800048828125,5826.60009765625,15.06
2020-04-24,7550.90087890625,1727.25,2836.739990234375,5752.2001953125,15.99
2020-04-25,7569.93603515625,1727.25,2836.739990234375,5752.2001953125,15.99
2020-04-26,7679.8671875,1727.25,2836.739990234375,5752.2001953125,15.99
2020-04-27,7795.60107421875,1717.25,2878.47998046875,5846.7998046875,12.17
2020-04-28,7807.05859375,1708.1,2863.389892578125,5958.5,12.4
2020-04-29,8801.0380859375,1706.0,2939.510009765625,6115.2998046875,15.04
2020-04-30,8658.5537109375,1716.75,2912.429931640625,5901.2001953125,19.23
2020-05-01,8864.7666015625,1673.05,2830.7099609375,5763.10009765625,19.72
2020-05-02,8988.5966796875,1673.05,2830.7099609375,5763.10009765625,19.72
2020-05-03,8897.46875,1673.05,2830.7099609375,5763.10009765625,19.72
2020-05-04,8912.654296875,1703.7,2842.739990234375,5753.7998046875,20.47
2020-05-05,9003.0703125,1696.3,2868.43994140625,5849.39990234375,24.56
2020-05-06,9268.76171875,1698.9,2848.419921875,5853.7998046875,23.88
2020-05-07,9951.5185546875,1688.65,2881.18994140625,5936.0,23.68
2020-05-08,9842.666015625,1688.65,2929.800048828125,5936.0,24.73
2020-05-09,9593.896484375,1688.65,2929.800048828125,5936.0,24.73
2020-05-10,8756.4306640625,1688.65,2929.800048828125,5936.0,24.73
2020-05-11,8601.7958984375,1698.8,2930.18994140625,5939.7001953125,24.02
2020-05-12,8804.4775390625,1703.45,2870.1201171875,5994.7998046875,25.76
2020-05-13,9269.9873046875,1699.85,2820.0,5904.10009765625,25.37
2020-05-14,9733.7216796875,1716.4,2852.5,5741.5,27.4
2020-05-15,9328.197265625,1734.85,2863.699951171875,5799.7998046875,29.44
2020-05-16,9377.013671875,1734.85,2863.699951171875,5799.7998046875,29.44
2020-05-17,9670.7392578125,1734.85,2863.699951171875,5799.7998046875,29.44
2020-05-18,9726.5751953125,1756.9,2953.909912109375,6048.60009765625,31.83
2020-05-19,9729.0380859375,1735.25,2922.93994140625,6002.2001953125,32.3
2020-05-20,9522.9814453125,1750.05,2971.610107421875,6067.2001953125,33.56
2020-05-21,9081.76171875,1732.8,2948.510009765625,6015.2998046875,34.3
2020-05-22,9182.5771484375,1732.45,2955.449951171875,5993.2998046875,33.49
2020-05-23,9209.287109375,1732.45,2955.449951171875,5993.2998046875,33.49
2020-05-24,8790.3681640625,1732.45,2955.449951171875,5993.2998046875,33.49
2020-05-25,8906.9345703125,1732.45,2955.449951171875,5993.2998046875,33.49
2020-05-26,8835.052734375,1722.75,2991.77001953125,6067.7998046875,34.7
2020-05-27,9181.017578125,1705.15,3036.1298828125,6144.2998046875,32.8
2020-05-28,9525.7509765625,1723.3,3029.72998046875,6218.7998046875,33.67
2020-05-29,9439.1240234375,1725.65,3044.31005859375,6076.60009765625,35.57
2020-05-30,9700.4140625,1725.65,3044.31005859375,6076.60009765625,35.57
2020-05-31,9461.05859375,1725.65,3044.31005859375,6076.60009765625,35.57
2020-06-01,10167.2685546875,1734.8,3055.72998046875,6166.39990234375,35.49
2020-06-02,9529.8037109375,1740.25,3080.820068359375,6220.10009765625,36.88
2020-06-03,9656.7177734375,1717.6,3122.8701171875,6382.39990234375,37.33
2020-06-04,9800.63671875,1706.45,3112.35009765625,6341.39990234375,37.42
2020-06-05,9665.533203125,1709.55,3193.929931640625,6484.2998046875,39.49
2020-06-06,9653.6796875,1709.55,3193.929931640625,6484.2998046875,39.49
2020-06-07,9758.8525390625,1709.55,3193.929931640625,6484.2998046875,39.49
2020-06-08,9771.4892578125,1692.0,3232.389892578125,6472.60009765625,38.17
2020-06-09,9795.7001953125,1707.5,3207.179931640625,6335.7001953125,38.98
2020-06-10,9870.0947265625,1717.65,3190.139892578125,6329.10009765625,39.54
2020-06-11,9321.78125,1731.9,3002.10009765625,6076.7001953125,36.43
2020-06-12,9480.84375,1735.85,3041.31005859375,6105.2001953125,36.24
2020-06-13,9475.27734375,1735.85,3041.31005859375,6105.2001953125,36.24
2020-06-14,9386.7880859375,1735.85,3041.31005859375,6105.2001953125,36.24
2020-06-15,9450.7021484375,1710.4,3066.590087890625,6064.7001953125,37.07
2020-06-16,9538.0244140625,1728.35,3124.739990234375,6242.7998046875,38.26
2020-06-17,9480.2548828125,1717.3,3113.489990234375,6253.2998046875,37.91
2020-06-18,9411.8408203125,1732.65,3115.340087890625,6224.10009765625,38.79
